Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R1","5k1","R_0402_1005Metric",1.000000,1.000000,45.000000,top
"R2","5k1","R_0402_1005Metric",1.000000,10.989376,-45.000000,top
